Original_Exercise,Predicted_Exercise,Accuracy
bicep_curl,bicep_curl,0.208
bicep_curl,push_ups,0.137
bicep_curl,tricep_extension,0.157
bicep_curl,bicep_curl,0.268
bicep_curl,tricep_extension,0.179
bicep_curl,bicep_curl,0.139
bicep_curl,bicep_curl,0.272
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,lateral_raise,0.004
bicep_curl,lateral_raise,0.017
bicep_curl,lateral_raise,0.039
bicep_curl,lateral_raise,0.085
bicep_curl,tricep_extension,0.032
bicep_curl,,0
bicep_curl,lateral_raise,0.085
bicep_curl,tricep_extension,0.052
bicep_curl,lateral_raise,0.05
bicep_curl,,0
bicep_curl,lateral_raise,0.095
bicep_curl,tricep_extension,0.129
bicep_curl,lateral_raise,0.084
bicep_curl,lateral_raise,0.048
bicep_curl,tricep_extension,0.02
bicep_curl,lateral_raise,0.053
bicep_curl,,0
bicep_curl,tricep_extension,0.108
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,tricep_extension,0.076
bicep_curl,,0
bicep_curl,,0
bicep_curl,bicep_curl,0.06
bicep_curl,,0
bicep_curl,tricep_extension,0.338
bicep_curl,push_ups,0.256
bicep_curl,tricep_extension,0.207
bicep_curl,tricep_extension,0.143
